날짜,장르,score
2018-01-31,OST,93845744.0
2018-01-31,댄스/팝,2269774156.0
2018-01-31,락,60516595.0
2018-01-31,랩/힙합,362397001.0
2018-01-31,발라드,1623662853.0
2018-01-31,알앤비/소울,410788389.0
2018-01-31,인디,727503023.0
2018-01-31,일렉트로닉,25922831.0
2018-01-31,캐롤,43116073.0
2018-01-31,팝,270830517.0
2018-01-31,포크/어쿠스틱,70633057.0
2018-02-28,OST,70548536.0
2018-02-28,댄스/팝,2031794508.0
2018-02-28,락,83104208.0
2018-02-28,락/메탈,33834850.0
2018-02-28,랩/힙합,455467671.0
2018-02-28,발라드,1393532719.0
2018-02-28,알앤비/소울,393257173.0
2018-02-28,인디,510549561.0
2018-02-28,일렉트로닉,23548118.0
2018-02-28,팝,305006326.0
2018-02-28,포크/어쿠스틱,75604813.0
2018-03-31,OST,50526682.0
2018-03-31,댄스/팝,2338536410.0
2018-03-31,락,109617571.0
2018-03-31,락/메탈,31019500.0
2018-03-31,랩/힙합,1013952678.0
2018-03-31,발라드,1271269396.0
2018-03-31,알앤비/소울,591226032.0
2018-03-31,인디,502535703.0
2018-03-31,일렉트로닉,26806393.0
2018-03-31,팝,326752417.0
2018-03-31,포크/어쿠스틱,64039266.0
2018-04-30,OST,44020345.0
2018-04-30,댄스/팝,1889139516.0
2018-04-30,락,100154448.0
2018-04-30,랩/힙합,1560983903.0
2018-04-30,발라드,1445036497.0
2018-04-30,알앤비/소울,489391590.0
2018-04-30,인디,446613486.0
2018-04-30,팝,296690229.0
2018-04-30,포크/어쿠스틱,47150334.0
2018-05-31,OST,41384820.0
2018-05-31,댄스/팝,1654715679.0
2018-05-31,락,99477988.0
2018-05-31,랩/힙합,1364213502.0
2018-05-31,발라드,1485689028.0
2018-05-31,알앤비/소울,490727651.0
2018-05-31,인디,512413951.0
2018-05-31,일렉트로닉,57216670.0
2018-05-31,팝,256369298.0
2018-06-30,OST,30112737.0
2018-06-30,댄스/팝,2174435406.0
2018-06-30,락,102280574.0
2018-06-30,랩/힙합,979522576.0
2018-06-30,발라드,1040123071.0
2018-06-30,알앤비/소울,347770048.0
2018-06-30,인디,567727184.0
2018-06-30,일렉트로닉,204841714.0
2018-06-30,팝,226786016.0
2018-07-31,OST,27106383.0
2018-07-31,댄스/팝,2729973655.0
2018-07-31,락,136965336.0
2018-07-31,랩/힙합,679740833.0
2018-07-31,발라드,1117078275.0
2018-07-31,알앤비/소울,447585663.0
2018-07-31,인디,673825131.0
2018-07-31,일렉트로닉,159083787.0
2018-07-31,팝,203226336.0
2018-08-31,OST,33617760.0
2018-08-31,댄스/팝,2919660133.0
2018-08-31,락,136478536.0
2018-08-31,랩/힙합,685210712.0
2018-08-31,발라드,1031168713.0
2018-08-31,알앤비/소울,328016980.0
2018-08-31,인디,590563836.0
2018-08-31,일렉트로닉,86226966.0
2018-08-31,팝,195222727.0
2018-09-30,OST,31919849.0
2018-09-30,댄스/팝,2365644858.0
2018-09-30,락,125368238.0
2018-09-30,랩/힙합,984193744.0
2018-09-30,발라드,1238565956.0
2018-09-30,알앤비/소울,341022950.0
2018-09-30,인디,466125469.0
2018-09-30,일렉트로닉,134610420.0
2018-09-30,팝,148690251.0
2018-10-31,OST,31353141.0
2018-10-31,댄스/팝,1722640742.0
2018-10-31,락,114296794.0
2018-10-31,랩/힙합,1743302755.0
2018-10-31,발라드,1925000327.0
2018-10-31,알앤비/소울,275722551.0
2018-10-31,인디,372488671.0
2018-10-31,일렉트로닉,86993218.0
2018-10-31,팝,132413441.0
2018-11-30,OST,30381374.0
2018-11-30,댄스/팝,1921962895.0
2018-11-30,락,104129689.0
2018-11-30,랩/힙합,1347587912.0
2018-11-30,발라드,1966502416.0
2018-11-30,알앤비/소울,216673186.0
2018-11-30,인디,274912901.0
2018-11-30,일렉트로닉,45119882.0
2018-11-30,팝,110560630.0
2018-11-30,포크/어쿠스틱,30171133.0
2018-12-31,OST,38778041.0
2018-12-31,댄스/팝,1669538163.0
2018-12-31,락,130299406.0
2018-12-31,랩/힙합,881725603.0
2018-12-31,발라드,1986756253.0
2018-12-31,알앤비/소울,329317128.0
2018-12-31,인디,216741315.0
2018-12-31,일렉트로닉,41384681.0
2018-12-31,캐롤,191903656.0
2018-12-31,팝,145680130.0
2019-01-31,OST,56327809.0
2019-01-31,댄스/팝,2251324248.0
2019-01-31,락,158260076.0
2019-01-31,랩/힙합,1000789559.0
2019-01-31,발라드,2684403403.0
2019-01-31,알앤비/소울,333350668.0
2019-01-31,인디,315023335.0
2019-01-31,일렉트로닉,322838735.0
2019-01-31,캐롤,87759656.0
2019-01-31,팝,323174661.0
2019-02-28,OST,29210701.0
2019-02-28,댄스/팝,2017516335.0
2019-02-28,락,124529782.0
2019-02-28,랩/힙합,937860158.0
2019-02-28,발라드,2331805667.0
2019-02-28,알앤비/소울,256531335.0
2019-02-28,인디,434662038.0
2019-02-28,일렉트로닉,249965789.0
2019-02-28,캐롤,41337437.0
2019-02-28,팝,367968502.0
2019-03-31,OST,26295610.0
2019-03-31,댄스/팝,2387529932.0
2019-03-31,락,76018563.0
2019-03-31,랩/힙합,1391676563.0
2019-03-31,발라드,2320970642.0
2019-03-31,성인가요,27412468.0
2019-03-31,알앤비/소울,463400665.0
2019-03-31,인디,572491546.0
2019-03-31,일렉트로닉,168748159.0
2019-03-31,캐롤,21947889.0
2019-03-31,팝,366028103.0
2019-03-31,포크/어쿠스틱,28895487.0
2019-04-30,OST,21045595.0
2019-04-30,댄스/팝,2329158647.0
2019-04-30,락,74569291.0
2019-04-30,랩/힙합,1573128139.0
2019-04-30,발라드,2082727460.0
2019-04-30,성인가요,23075405.0
2019-04-30,알앤비/소울,442836961.0
2019-04-30,인디,1332554368.0
2019-04-30,일렉트로닉,89228662.0
2019-04-30,캐롤,17038332.0
2019-04-30,팝,393156348.0
2019-04-30,포크/어쿠스틱,47910570.0
2019-05-31,OST,19571032.0
2019-05-31,댄스/팝,1973760024.0
2019-05-31,락,100669854.0
2019-05-31,랩/힙합,1308776183.0
2019-05-31,발라드,2047575391.0
2019-05-31,성인가요,44163409.0
2019-05-31,알앤비/소울,407383715.0
2019-05-31,인디,1058075281.0
2019-05-31,일렉트로닉,121597496.0
2019-05-31,캐롤,15551281.0
2019-05-31,팝,635030340.0
2019-05-31,포크/어쿠스틱,38648106.0
2019-06-30,OST,16821701.0
2019-06-30,댄스/팝,1738623360.0
2019-06-30,락,118166881.0
2019-06-30,랩/힙합,1042795841.0
2019-06-30,발라드,2174467076.0
2019-06-30,성인가요,50608931.0
2019-06-30,알앤비/소울,426654703.0
2019-06-30,인디,839689012.0
2019-06-30,일렉트로닉,126968067.0
2019-06-30,캐롤,12724290.0
2019-06-30,팝,937086726.0
2019-07-31,OST,29414029.0
2019-07-31,댄스/팝,1876998734.0
2019-07-31,락,112537455.0
2019-07-31,랩/힙합,862243878.0
2019-07-31,발라드,2568282934.0
2019-07-31,성인가요,44858691.0
2019-07-31,알앤비/소울,595712234.0
2019-07-31,인디,753529749.0
2019-07-31,일렉트로닉,94938836.0
2019-07-31,팝,953804915.0
2019-08-31,OST,13010714.0
2019-08-31,댄스/팝,1649410585.0
2019-08-31,락,110634617.0
2019-08-31,랩/힙합,814646496.0
2019-08-31,발라드,3035535061.0
2019-08-31,성인가요,37402742.0
2019-08-31,알앤비/소울,404705577.0
2019-08-31,인디,687812744.0
2019-08-31,일렉트로닉,94462246.0
2019-08-31,팝,777043796.0
2019-09-30,댄스/팝,1261882045.0
2019-09-30,락,84685238.0
2019-09-30,랩/힙합,697658308.0
2019-09-30,발라드,3083940386.0
2019-09-30,성인가요,23125675.0
2019-09-30,알앤비/소울,429464604.0
2019-09-30,인디,992986061.0
2019-09-30,일렉트로닉,46534324.0
2019-09-30,팝,582187461.0
2019-09-30,포크/어쿠스틱,247513164.0
2019-10-31,댄스/팝,903031242.0
2019-10-31,락,97086526.0
2019-10-31,랩/힙합,733150336.0
2019-10-31,발라드,2977650863.0
2019-10-31,성인가요,15012202.0
2019-10-31,알앤비/소울,644402890.0
2019-10-31,인디,991030444.0
2019-10-31,일렉트로닉,33904628.0
2019-10-31,팝,584481844.0
2019-10-31,포크/어쿠스틱,580491553.0
2019-11-30,OST,41665709.0
2019-11-30,댄스/팝,1692032629.0
2019-11-30,락,66381692.0
2019-11-30,랩/힙합,832109958.0
2019-11-30,발라드,2887241714.0
2019-11-30,알앤비/소울,421159080.0
2019-11-30,인디,654536158.0
2019-11-30,일렉트로닉,29032505.0
2019-11-30,캐롤,48301067.0
2019-11-30,팝,577905245.0
2019-11-30,포크/어쿠스틱,255395136.0
2019-12-31,OST,30704728.0
2019-12-31,댄스/팝,1867118840.0
2019-12-31,락,38328049.0
2019-12-31,랩/힙합,836108922.0
2019-12-31,발라드,2596749871.0
2019-12-31,알앤비/소울,346455731.0
2019-12-31,인디,439589661.0
2019-12-31,일렉트로닉,25398343.0
2019-12-31,캐롤,279562971.0
2019-12-31,팝,744035732.0
2019-12-31,포크/어쿠스틱,111684048.0
2020-01-31,OST,13891785.0
2020-01-31,댄스/팝,1525374876.0
2020-01-31,락,45398423.0
2020-01-31,랩/힙합,1131204080.0
2020-01-31,발라드,2404612900.0
2020-01-31,성인가요,53530684.0
2020-01-31,알앤비/소울,228406727.0
2020-01-31,인디,478667713.0
2020-01-31,일렉트로닉,25574077.0
2020-01-31,캐롤,91005361.0
2020-01-31,팝,580492343.0
2020-01-31,포크/어쿠스틱,94508736.0
2020-02-29,OST,11507193.0
2020-02-29,댄스/팝,1368861335.0
2020-02-29,락,30532923.0
2020-02-29,랩/힙합,809100173.0
2020-02-29,발라드,2300665052.0
2020-02-29,성인가요,63014241.0
2020-02-29,알앤비/소울,210499056.0
2020-02-29,인디,371296893.0
2020-02-29,일렉트로닉,34967310.0
2020-02-29,캐롤,29138215.0
2020-02-29,팝,564362250.0
2020-02-29,포크/어쿠스틱,70392313.0
2020-03-31,OST,27762731.0
2020-03-31,댄스/팝,1786691271.0
2020-03-31,락,42355252.0
2020-03-31,락/메탈,11662255.0
2020-03-31,랩/힙합,522367562.0
2020-03-31,발라드,1967648136.0
2020-03-31,성인가요,197124451.0
2020-03-31,알앤비/소울,196694229.0
2020-03-31,인디,426135874.0
2020-03-31,일렉트로닉,12481737.0
2020-03-31,캐롤,13569132.0
2020-03-31,팝,547623540.0
2020-03-31,포크/어쿠스틱,76205040.0
2020-04-30,댄스/팝,1684828879.0
2020-04-30,락,42560404.0
2020-04-30,락/메탈,107313849.0
2020-04-30,랩/힙합,422005755.0
2020-04-30,발라드,1718698765.0
2020-04-30,성인가요,271285679.0
2020-04-30,알앤비/소울,227239249.0
2020-04-30,인디,556837626.0
2020-04-30,일렉트로닉,12375605.0
2020-04-30,캐롤,11211526.0
2020-04-30,팝,569194977.0
2020-04-30,포크/어쿠스틱,104624674.0
2020-05-31,댄스/팝,2200667543.0
2020-05-31,락,46224753.0
2020-05-31,락/메탈,22112570.0
2020-05-31,랩/힙합,341862882.0
2020-05-31,발라드,1460274718.0
2020-05-31,성인가요,251837827.0
2020-05-31,알앤비/소울,383203340.0
2020-05-31,인디,745694976.0
2020-05-31,일렉트로닉,12537177.0
2020-05-31,팝,596323275.0
2020-05-31,포크/어쿠스틱,104471170.0
2020-06-30,댄스/팝,1989975678.0
2020-06-30,락,57891384.0
2020-06-30,락/메탈,13968778.0
2020-06-30,랩/힙합,472456819.0
2020-06-30,발라드,1187023022.0
2020-06-30,성인가요,235565341.0
2020-06-30,알앤비/소울,485328731.0
2020-06-30,인디,637947829.0
2020-06-30,일렉트로닉,11996766.0
2020-06-30,팝,620249895.0
2020-06-30,포크/어쿠스틱,68532993.0
2020-07-31,OST,14906995.0
2020-07-31,댄스/팝,2525497358.0
2020-07-31,락,44793863.0
2020-07-31,랩/힙합,653345921.0
2020-07-31,발라드,1183722928.0
2020-07-31,성인가요,200149879.0
2020-07-31,알앤비/소울,349917577.0
2020-07-31,인디,544195515.0
2020-07-31,일렉트로닉,11144552.0
2020-07-31,팝,589715443.0
2020-07-31,포크/어쿠스틱,53213861.0
2020-08-31,댄스/팝,2726873528.0
2020-08-31,락,49118083.0
2020-08-31,랩/힙합,611038076.0
2020-08-31,발라드,1134892367.0
2020-08-31,성인가요,163435928.0
2020-08-31,알앤비/소울,368844337.0
2020-08-31,인디,456695401.0
2020-08-31,일렉트로닉,9765718.0
2020-08-31,팝,540641951.0
2020-08-31,포크/어쿠스틱,52494982.0
2020-09-30,OST,9476665.0
2020-09-30,댄스/팝,2221507183.0
2020-09-30,락,38053214.0
2020-09-30,락/메탈,10683028.0
2020-09-30,랩/힙합,465046018.0
2020-09-30,발라드,1313667869.0
2020-09-30,성인가요,174356325.0
2020-09-30,알앤비/소울,262681113.0
2020-09-30,인디,447614597.0
2020-09-30,팝,545529610.0
2020-09-30,포크/어쿠스틱,76680126.0
2020-10-31,OST,10742764.0
2020-10-31,댄스/팝,2380344739.0
2020-10-31,락,36983355.0
2020-10-31,랩/힙합,452129197.0
2020-10-31,발라드,1514910623.0
2020-10-31,성인가요,167531044.0
2020-10-31,알앤비/소울,184524757.0
2020-10-31,인디,461105420.0
2020-10-31,팝,604054936.0
2020-10-31,포크/어쿠스틱,83335068.0
2020-11-30,OST,10461300.0
2020-11-30,댄스/팝,1949155654.0
2020-11-30,락,23431220.0
2020-11-30,락/메탈,25987815.0
2020-11-30,랩/힙합,509147483.0
2020-11-30,발라드,1578193526.0
2020-11-30,성인가요,157616915.0
2020-11-30,알앤비/소울,152449192.0
2020-11-30,인디,626742378.0
2020-11-30,캐롤,44124193.0
2020-11-30,팝,526398117.0
2020-11-30,포크/어쿠스틱,88092025.0
2020-12-31,OST,13226693.0
2020-12-31,댄스/팝,1383866102.0
2020-12-31,락,20045968.0
2020-12-31,락/메탈,16718863.0
2020-12-31,랩/힙합,967146854.0
2020-12-31,발라드,1256459138.0
2020-12-31,성인가요,101855359.0
2020-12-31,알앤비/소울,254689301.0
2020-12-31,인디,515658066.0
2020-12-31,캐롤,286255885.0
